espanol,english
ballena,whale
tiburon,shark
delfin,dolphin
coco,coconut
tortuga,tortoise
medusa,jellyfish
camaron,shrimp
ostra,oyster
almeja,clam
mejillon,mussel
calamar,squid
arena,sand
sol,sun
playa,beach
tormenta,storm
nube,cloud
trueno,thunder
relampago,lightning
huracan,hurricane
camino,path
tropical,tropical
felicidad,happiness
vida,life
familia,family
padre,father
madre,mother
hija,daughter
paz,peace
guacamaya,macaw
perico,parakeet
serpiente,snake
cocodrilo,crocodile
fiesta,party
calor,heat
amistad,friendship
comunidad,community
calidez,warmth
caluroso,warm
templado,tempered
alegria,happiness
amor,love
aprender,learn
esfuerzo,effort
comunicarse,communicate
entender,understand
reto,challenge
meta,goal
crecimiento,growth
amor,love
regalo,gift
flores,flowers
abrazo,hug
apapacho,to cuddle
papalote, kite
cuate, twin
tomate, tomato
chocolate, chocolate
guacamole, gacamole
ejote, green bean
cebolla, onion
elote, maize/corn
calabaza, pumpkin
coyote, coyote
chicle, chewing gum
carambola, star fruit
chayote, chayote squash
empatia,empathy
tiempo,time
decidir,to decide
almacenar,to store
cuidar,to look after
cosechar,to harvest
perdurar,to endure
vivir,to live
riesgo,risk
intentar,to attempt
medir,to measure
calcular,to calculate
empezar,begin
crecer,grow
nadar,to swim
resistir,to resist
soltar,to drop
desprenderse,to detach
rendirse,to surrender
despedirse,to say goodbye
alentar,encourage
levantarse,to get up
entrenar,train
fortalecer,strengthen
imaginar,imagine
premeditar,premeditate
prosperar,thrive
perseguir,chase
corregir,correct
acomodar,accommodate
sostener,hold
controlar,control
